request_id,geoid,tract_name,county,request_type,request_text,service_tags,address
REQ-0001,06007000102,Census Tract 1.02,Butte,Transportation,"Elderly neighbor needs ride to medical appointment, cannot drive",transportation,"Chico Branch Library, 1108 Sherman Ave, Chico, CA"
REQ-0002,06007000201,Census Tract 2.01,Butte,Medical,"Need insulin delivery for diabetic resident, pharmacy is far away",medical,"Pleasant Valley High School, 1475 East Ave, Chico, CA"
REQ-0003,06007000300,Census Tract 3,Butte,Food & Water,"Family of five needs emergency food boxes, lost everything in fire",food_distribution,"Oroville City Hall, 1735 Montgomery St, Oroville, CA"
REQ-0004,06007000401,Census Tract 4.01,Butte,Supplies,"Need tarps and sandbags to protect damaged roof before rain",volunteer_labor,"Chico City Hall, 411 Main St, Chico, CA"
REQ-0005,06007000502,Census Tract 5.02,Butte,Mobility Help,"Elderly woman needs help moving furniture to clear evacuation path",mobility_assistance;heavy_lifting,"Bidwell Park, Vallombrosa Ave, Chico, CA"
REQ-0006,06007000601,Census Tract 6.01,Butte,Childcare,"Single mother needs childcare while attending FEMA meetings",childcare,"Durham Community Park, 9540 Putney Dr, Durham, CA"
REQ-0007,06007000700,Census Tract 7,Butte,General,"Need volunteers to help sort donations at community center",volunteer_labor,"Paradise Community Park, 6626 Skyway, Paradise, CA"
REQ-0008,06007000103,Census Tract 1.03,Butte,Transportation,"Family of four needs transport to evacuation center",transportation,"Paradise Alliance Church, 6491 Clark Rd, Paradise, CA"
REQ-0009,06007000800,Census Tract 8,Butte,Medical,"Child has asthma and needs nebulizer supplies delivered urgently",medical,"Chico Community Center, 545 Vallombrosa Ave, Chico, CA"
REQ-0010,06007000901,Census Tract 9.01,Butte,Food & Water,"Senior on fixed income needs groceries delivered this week",food_distribution,"Gridley City Hall, 685 Kentucky St, Gridley, CA"
REQ-0011,06007000104,Census Tract 1.04,Butte,Supplies,"Family needs blankets and warm clothing for children",volunteer_labor,"Biggs City Hall, 465 C St, Biggs, CA"
REQ-0012,06007001000,Census Tract 10,Butte,Mobility Help,"Disabled man needs ramp installed at temporary housing entrance",mobility_assistance,"Marsh Junior High School, 2141 North Ave, Chico, CA"
REQ-0013,06007001100,Census Tract 11,Butte,Childcare,"Parent needs after-school care for two children during recovery period",childcare,"Neal Dow Elementary School, 1307 Arbutus Ave, Chico, CA"
REQ-0014,06007001200,Census Tract 12,Butte,General,"Resident needs help filling out insurance claim paperwork",volunteer_labor,"Emma Wilson Elementary School, 810 West Sacramento Ave, Chico, CA"
REQ-0015,06007000903,Census Tract 9.03,Butte,Transportation,"Wheelchair-bound veteran needs accessible vehicle to pharmacy",transportation,"Oroville First United Methodist Church, 60 Acacia Ave, Oroville, CA"
REQ-0016,06007001300,Census Tract 13,Butte,Medical,"Elderly man needs help managing wound care after hospital discharge",medical,"Thermalito Community Park, 1000 Grand Ave, Oroville, CA"
REQ-0017,06007000202,Census Tract 2.02,Butte,Food & Water,"Single father needs baby formula and diapers urgently",food_distribution,"Magalia Community Church, 13700 Old Skyway, Magalia, CA"
REQ-0018,06007001400,Census Tract 14,Butte,Supplies,"Resident needs cleaning supplies to start debris removal at home",volunteer_labor,"Butte College, 3536 Butte Campus Dr, Oroville, CA"
REQ-0019,06007001500,Census Tract 15,Butte,Mobility Help,"Senior needs walker repaired or replaced after evacuation damage",mobility_assistance,"Paradise Post Office, 6161 Clark Rd, Paradise, CA"
REQ-0020,06007000403,Census Tract 4.03,Butte,Childcare,"Family needs emergency babysitter while both parents work cleanup shifts",childcare,"Chico Post Office, 200 W 2nd St, Chico, CA"
REQ-0021,06007001601,Census Tract 16.01,Butte,General,"Senior needs help setting up phone and internet at new residence",volunteer_labor,"Enloe Medical Center, 1531 Esplanade, Chico, CA"
REQ-0022,06007000404,Census Tract 4.04,Butte,Transportation,"Single mother needs ride to pick up prescriptions for children",transportation,"Feather River Hospital, 5974 Pentz Rd, Paradise, CA"
REQ-0023,06007001602,Census Tract 16.02,Butte,Medical,"Resident needs blood pressure medication refill picked up",medical,"Chico Fire Station 1, 201 Vallombrosa Ave, Chico, CA"
REQ-0024,06007000501,Census Tract 5.01,Butte,Food & Water,"Household of three needs drinking water, well contaminated by ash",food_distribution,"Oroville Fire Station 44, 2900 Lincoln Blvd, Oroville, CA"
REQ-0025,06007001702,Census Tract 17.02,Butte,Supplies,"Household needs batteries, flashlights, and portable phone chargers",volunteer_labor,"Gridley Branch Library, 299 Spruce St, Gridley, CA"
REQ-0026,06007000603,Census Tract 6.03,Butte,Mobility Help,"Resident in wheelchair needs help navigating debris around home",mobility_assistance;heavy_lifting,"Nelson Park, 901 Mangrove Ave, Chico, CA"
REQ-0027,06007001703,Census Tract 17.03,Butte,Childcare,"Grandparent caring for three grandchildren needs respite help",childcare,"Chapman Elementary School, 545 E 2nd Ave, Chico, CA"
REQ-0028,06007000604,Census Tract 6.04,Butte,General,"Family needs help cleaning ash and debris from yard",volunteer_labor,"Shasta Elementary School, 353 E 6th Ave, Chico, CA"
REQ-0029,06007001704,Census Tract 17.04,Butte,Transportation,"Senior couple needs transportation to grocery store weekly",transportation,"Chico Branch Library, 1108 Sherman Ave, Chico, CA"
REQ-0030,06007001800,Census Tract 18,Butte,Medical,"Pregnant woman needs prenatal vitamins and check-up transportation",medical,"Butte County Library Oroville Branch, 1820 Mitchell Ave, Oroville, CA"
REQ-0031,06007001900,Census Tract 19,Butte,Food & Water,"Elderly couple needs meals delivered, both have mobility issues",food_distribution,"Chico Community Center, 545 Vallombrosa Ave, Chico, CA"
REQ-0032,06007002000,Census Tract 20,Butte,Supplies,"Need plywood to board up broken windows after storm damage",volunteer_labor,"Paradise Community Park, 6626 Skyway, Paradise, CA"
REQ-0033,06007002200,Census Tract 22,Butte,Mobility Help,"Injured resident needs help carrying supplies upstairs to apartment",heavy_lifting,"Chico City Hall, 411 Main St, Chico, CA"
REQ-0034,06007002300,Census Tract 23,Butte,Childcare,"Parent needs childcare for toddler during medical appointments",childcare,"Neal Dow Elementary School, 1307 Arbutus Ave, Chico, CA"
REQ-0035,06007002401,Census Tract 24.01,Butte,General,"Homeowner needs help tarping roof before next storm arrives",volunteer_labor,"Oroville City Hall, 1735 Montgomery St, Oroville, CA"
REQ-0036,06007002402,Census Tract 24.02,Butte,Transportation,"Disabled resident requires lift-equipped van for dialysis appointments",transportation,"Enloe Medical Center, 1531 Esplanade, Chico, CA"
REQ-0037,06007002500,Census Tract 25,Butte,Medical,"Senior needs assistance setting up new oxygen equipment at home",medical,"Feather River Hospital, 5974 Pentz Rd, Paradise, CA"
REQ-0038,06007002601,Census Tract 26.01,Butte,Food & Water,"Large family needs culturally appropriate food assistance",food_distribution,"Gridley City Hall, 685 Kentucky St, Gridley, CA"
REQ-0039,06007002602,Census Tract 26.02,Butte,Supplies,"Family needs school supplies for kids starting at new school",volunteer_labor,"Biggs City Hall, 465 C St, Biggs, CA"
REQ-0040,06007002700,Census Tract 27,Butte,Mobility Help,"Elderly couple needs help packing belongings for relocation",mobility_assistance;heavy_lifting,"Durham Community Park, 9540 Putney Dr, Durham, CA"
REQ-0041,06007002800,Census Tract 28,Butte,Childcare,"Working parent needs someone to watch infant during job interviews",childcare,"Emma Wilson Elementary School, 810 West Sacramento Ave, Chico, CA"
REQ-0042,06007002900,Census Tract 29,Butte,General,"Elderly resident needs help reading and responding to official mail",volunteer_labor,"Chico Post Office, 200 W 2nd St, Chico, CA"
REQ-0043,06007003001,Census Tract 30.01,Butte,Transportation,"Elderly woman needs ride to eye doctor, no family nearby",transportation,"Pleasant Valley High School, 1475 East Ave, Chico, CA"
REQ-0044,06007003002,Census Tract 30.02,Butte,Medical,"Family needs first aid supplies for minor burn injuries",medical,"Paradise Alliance Church, 6491 Clark Rd, Paradise, CA"
REQ-0045,06007003100,Census Tract 31,Butte,Food & Water,"Resident needs gluten-free food options due to celiac disease",food_distribution,"Magalia Community Church, 13700 Old Skyway, Magalia, CA"
REQ-0046,06007003200,Census Tract 32,Butte,Supplies,"Resident needs personal hygiene products and toiletries",volunteer_labor,"Butte College, 3536 Butte Campus Dr, Oroville, CA"
REQ-0047,06007003300,Census Tract 33,Butte,Mobility Help,"Person with spinal injury needs help rearranging room for accessibility",mobility_assistance,"Chico Branch Library, 1108 Sherman Ave, Chico, CA"
REQ-0048,06007003501,Census Tract 35.01,Butte,Childcare,"Family needs weekend childcare while rebuilding damaged home",childcare,"Marsh Junior High School, 2141 North Ave, Chico, CA"
REQ-0049,06007003600,Census Tract 36,Butte,General,"Need volunteers for neighborhood wellness check on isolated seniors",volunteer_labor,"Thermalito Community Park, 1000 Grand Ave, Oroville, CA"
REQ-0050,06007003700,Census Tract 37,Butte,Transportation,"Need transport for three elderly residents to community meal site",transportation,"Oroville Fire Station 44, 2900 Lincoln Blvd, Oroville, CA"
REQ-0051,06089010100,Census Tract 101,Shasta,Transportation,"Parent with broken leg needs ride to school to pick up kids",transportation,"Redding Library, 1100 Parkview Ave, Redding, CA"
REQ-0052,06089010200,Census Tract 102,Shasta,Medical,"Disabled veteran needs help scheduling and getting to VA appointments",medical,"Shasta College, 11555 Old Oregon Trail, Redding, CA"
REQ-0053,06089010400,Census Tract 104,Shasta,Food & Water,"Homebound senior needs hot meals delivered for the next two weeks",food_distribution,"Enterprise High School, 3411 Churn Creek Rd, Redding, CA"
REQ-0054,06089010500,Census Tract 105,Shasta,Supplies,"Senior needs adult diapers and incontinence supplies",volunteer_labor,"Shasta Lake City Hall, 4477 Main St, Shasta Lake, CA"
REQ-0055,06089010601,Census Tract 106.01,Shasta,Mobility Help,"Amputee needs assistance getting heavy supply boxes into the house",heavy_lifting,"Anderson City Hall, 1887 Howard St, Anderson, CA"
REQ-0056,06089010602,Census Tract 106.02,Shasta,Childcare,"Mother in shelter needs help watching kids during housing search",childcare,"Anderson Branch Library, 3200 West Center St, Anderson, CA"
REQ-0057,06089010702,Census Tract 107.02,Shasta,General,"Resident needs help filing for unemployment benefits online",volunteer_labor,"Redding City Hall, 777 Cypress Ave, Redding, CA"
REQ-0058,06089010703,Census Tract 107.03,Shasta,Transportation,"Teen needs ride to after-school job, family car destroyed in fire",transportation,"Shasta County Office of Education, 1644 Magnolia Ave, Redding, CA"
